park_code,park_name,wiki_url,nps_url,area_acres,lat,lon
KAWW,Katahdin Woods and Waters National Monument,https://en.wikipedia.org/wiki/Katahdin_Woods_and_Waters_National_Monument,https://www.nps.gov/KAWW/index.htm,87563.0,45.970362,-68.619336
KEFJ,Kenai Fjords National Park,https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park,https://www.nps.gov/KEFJ/index.htm,669984.0,59.91778,-149.9875
KEMO,Kennesaw Mountain National Battlefield Park,https://en.wikipedia.org/wiki/Kennesaw_Mountain_National_Battlefield_Park,https://www.nps.gov/KEMO/index.htm,2913.63,33.98306,-84.57806
KEWE,Keweenaw National Historical Park,https://en.wikipedia.org/wiki/Keweenaw_National_Historical_Park,https://www.nps.gov/KEWE/index.htm,1869.0,47.15639,-88.56361
KICA,Kings Canyon National Park,https://en.wikipedia.org/wiki/Kings_Canyon_National_Park,https://www.nps.gov/KICA/index.htm,461901.0,36.78928,-118.67286
KIMO,Kings Mountain National Military Park,https://en.wikipedia.org/wiki/Kings_Mountain_National_Military_Park,https://www.nps.gov/KIMO/index.htm,3945.0,35.13778,-81.38944
KLGO,Klondike Gold Rush National Historical Park,https://en.wikipedia.org/wiki/Klondike_Gold_Rush_National_Historical_Park,https://www.nps.gov/KLGO/index.htm,12996.0,59.57537,-135.26367
KLSE,Klondike Gold Rush-Seattle Unit National Historical Park,https://en.wikipedia.org/wiki/Klondike_Gold_Rush-Seattle_Unit_National_Historical_Park,https://www.nps.gov/KLSE/index.htm,12996.0,59.57537,-135.26367
KNRI,Knife River Indian Villages National Historic Site,https://en.wikipedia.org/wiki/Knife_River_Indian_Villages_National_Historic_Site,https://www.nps.gov/KNRI/index.htm,1758.0,47.35417,-101.38583
KOVA,Kobuk Valley National Park,https://en.wikipedia.org/wiki/Kobuk_Valley_National_Park,https://www.nps.gov/KOVA/index.htm,1750716.0,67.55,-159.283
KOWA,Korean War Veterans Memorial,https://en.wikipedia.org/wiki/Korean_War_Veterans_Memorial,https://www.nps.gov/KOWA/index.htm,2.2,38.88778,-77.04722
LABE,Lava Beds National Monument,https://en.wikipedia.org/wiki/Lava_Beds_National_Monument,https://www.nps.gov/LABE/index.htm,46692.0,41.71389,-121.50833
LACH,Lake Chelan National Recreation Area,https://en.wikipedia.org/wiki/Lake_Chelan_National_Recreation_Area,https://www.nps.gov/LACH/index.htm,61958.0,48.32194,-120.67833
LACL,Lake Clark National Park & Preserve,https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve,https://www.nps.gov/LACL/index.htm,4030015.0,60.967,-153.417
